输入名称,代码,市场,真实简称,名称不一致,最新价,涨跌幅%,成交额亿元,换手率%,量比,PE,PB,总市值亿元,主力净流入万元,主力净占比%,行业,概念,风险标签,初筛分,研究优先级,数据源,量化总分,研究层级,动量分,流动性分,估值分,资金分,市值适配分,风险扣分,量化风险原因,数据完整性
中航西飞,000768,SZ,中航西飞,否,21.53,-5.82,11.1,1.86,3.87,60.78,2.71,598.67,-24341.93,-21.92,航空装备Ⅱ,"航天航空,军工,参股券商,西部大开发,通用航空,央国企改革,航母概念,军民融合,大飞机,商业航天,低空经济",,59,C-低优先级,东方财富push2实时行情接口,54.13,R-风险剔除,0.0,100.0,81.2,18.0,100.0,0.0,综合分低/因子不占优,完整
沪电股份,002463,SZ,沪电股份,否,129.75,3.63,0.01,3.1,1.25,58.04,15.78,2496.86,0.0,0.0,,,,65,B-观察研究,东方财富push2实时行情接口,53.12,R-风险剔除,100.0,38.2,46.0,50.0,50.2,8.0,行情字段不完整,不完整
华电辽能,600396,SH,华电辽能,否,18.01,2.91,0.0,9.78,1.1,654.09,17.28,265.23,0.0,0.0,,,,52,C-低优先级,东方财富push2实时行情接口,52.74,R-风险剔除,100.0,57.3,0.0,50.0,100.0,8.0,行情字段不完整,不完整
万润科技,002654,SZ,万润科技,否,16.11,-0.49,0.0,5.96,1.41,476.44,8.71,136.18,0.0,0.0,,,,49,C-低优先级,东方财富push2实时行情接口,50.95,R-风险剔除,70.2,64.0,27.7,50.0,100.0,8.0,行情字段不完整,不完整
泰坦股份,003036,SZ,泰坦股份,否,90.38,10.0,7.88,4.15,1.58,238.27,13.86,195.48,10182.72,12.93,专用设备,"参股银行,固态电池,电池技术",大幅波动,72,B-观察研究,东方财富push2实时行情接口,47.53,R-风险剔除,14.3,100.0,8.1,92.0,100.0,12.0,大幅波动,完整
ST洲际,600759,SH,ST洲际,否,2.49,1.22,3.86,3.84,1.57,23.3,1.14,103.31,1446.91,3.75,油气开采Ⅱ,"天然气,氦气概念,海南自贸,油气资源",ST/*ST,58,C-低优先级,东方财富push2实时行情接口,47.32,R-风险剔除,100.0,100.0,100.0,70.0,100.0,42.0,ST/*ST,完整
达安基因,002030,SZ,达安基因,否,5.39,0.19,0.63,0.82,0.72,-19.27,1.07,75.65,45.29,0.72,医疗器械,"创投,食品安全,医疗器械概念,病毒防治,央国企改革,基因测序,免疫治疗,精准医疗,体外诊断概念,流感,辅助生殖,幽门螺杆菌概念,肝炎概念,味蕾经济,病原体防治,精准诊断",亏损PE,44,D-风险/剔除候选,东方财富push2实时行情接口,46.87,R-风险剔除,83.8,44.2,53.5,70.0,100.0,18.0,亏损PE,完整
金开新能,600821,SH,金开新能,否,6.7,2.13,0.0,2.32,0.77,-344.04,1.46,131.81,0.0,0.0,,,亏损PE,66,B-观察研究,东方财富push2实时行情接口,46.61,R-风险剔除,100.0,64.0,53.5,50.0,100.0,26.0,亏损PE、行情字段不完整,不完整
众合科技,000925,SZ,众合科技,否,8.21,2.24,0.0,3.16,0.92,-122.08,1.72,55.53,0.0,0.0,,,亏损PE,66,B-观察研究,东方财富push2实时行情接口,46.61,R-风险剔除,100.0,64.0,53.5,50.0,100.0,26.0,亏损PE、行情字段不完整,不完整
巨轮智能,002031,SZ,巨轮智能,否,5.8,3.02,0.0,3.67,0.83,-53.73,6.57,127.56,0.0,0.0,,,亏损PE,63,B-观察研究,东方财富push2实时行情接口,45.84,R-风险剔除,100.0,64.0,51.3,50.0,100.0,26.0,亏损PE、行情字段不完整,不完整
天地在线,002995,SZ,天地在线,否,21.63,0.14,1.36,5.53,0.9,-2818.97,4.78,38.38,-341.84,-2.51,广告营销,"电商概念,国产软件,百度概念,抖音概念(字节概念),网红经济,拼多多概念,元宇宙概念,虚拟数字人,数字经济,Web3.0,财税数字化,小红书概念",亏损PE,56,C-低优先级,东方财富push2实时行情接口,43.77,R-风险剔除,82.8,66.1,53.5,35.0,66.8,18.0,亏损PE,完整
航发动力,600893,SH,航发动力,否,38.05,-1.98,0.0,0.73,1.15,161.15,2.52,1014.26,0.0,0.0,,,,44,D-风险/剔除候选,东方财富push2实时行情接口,42.69,R-风险剔除,40.4,53.8,38.0,50.0,100.0,8.0,行情字段不完整,不完整
巨星农牧,603477,SH,巨星农牧,否,14.02,-0.71,0.89,1.22,1.23,-5.14,2.67,73.32,-446.53,-5.04,养殖业,"西部大开发,猪肉概念,鸡肉概念",亏损PE,56,C-低优先级,东方财富push2实时行情接口,41.07,R-风险剔除,65.8,56.4,53.5,35.0,100.0,18.0,亏损PE,完整
兆易创新,603986,SH,兆易创新,否,506.29,5.16,0.01,4.33,1.6,123.48,14.34,3549.61,0.0,0.0,,,,60,C-低优先级,东方财富push2实时行情接口,41.05,R-风险剔除,100.0,38.2,6.3,50.0,0.0,8.0,行情字段不完整,不完整
汉邦高科,300449,SZ,汉邦高科,否,7.84,1.82,0.78,2.58,0.87,-102.05,10.88,30.27,-483.65,-6.19,计算机设备,"军工,智慧城市,安防概念,知识产权,华为概念,数字水印,算力概念",亏损PE,60,C-低优先级,东方财富push2实时行情接口,40.78,R-风险剔除,100.0,54.1,35.0,35.0,43.6,18.0,亏损PE,完整
TCL中环,002129,SZ,TCL中环,否,9.97,-0.1,0.0,4.8,1.14,-4.48,2.01,403.1,0.0,0.0,,,亏损PE,52,C-低优先级,东方财富push2实时行情接口,39.37,R-风险剔除,78.0,64.0,53.5,50.0,100.0,26.0,亏损PE、行情字段不完整,不完整
北京君正,300223,SZ,北京君正,否,157.88,8.43,0.0,7.16,1.44,122.9,6.02,763.61,0.0,0.0,,,大幅波动,55,C-低优先级,东方财富push2实时行情接口,38.77,R-风险剔除,59.1,64.0,37.9,50.0,100.0,20.0,大幅波动、行情字段不完整,不完整
神剑股份,002361,SZ,神剑股份,否,15.79,0.32,18.51,14.5,0.89,-712.65,6.85,150.17,-3391.93,-1.83,塑料,"军工,北斗导航,央国企改革,军民融合,商业航天,磁悬浮概念,机器人概念,低空经济,碳纤维",高换手、亏损PE,51,C-低优先级,东方财富push2实时行情接口,38.58,R-风险剔除,86.4,75.3,50.3,35.0,100.0,28.0,亏损PE、高换手,完整
天邦食品,002124,SZ,天邦食品,否,2.35,-1.26,0.84,1.78,0.95,-1.85,3.15,52.22,-671.16,-8.04,养殖业,"长江三角,猪肉概念,预制菜概念",亏损PE,56,C-低优先级,东方财富push2实时行情接口,38.22,R-风险剔除,54.8,55.4,53.5,35.0,100.0,18.0,亏损PE,完整
杭电股份,603618,SH,杭电股份,否,42.75,10.01,36.7,12.64,2.69,91.4,10.92,295.56,70220.35,19.13,电网设备,"锂电池概念,风能,石墨烯,5G概念,特高压,碳交易,抽水蓄能,光通信模块,电网概念,电池技术,通信技术,光纤概念",高换手、大幅波动,62,B-观察研究,东方财富push2实时行情接口,37.66,R-风险剔除,14.0,82.4,40.2,92.0,100.0,22.0,高换手、大幅波动,完整
北辰实业,601588,SH,北辰实业,否,1.87,-1.58,0.83,1.63,0.74,-10.43,0.96,62.96,-968.85,-11.7,房地产开发,"养老概念,央国企改革,京津冀,电子竞技",亏损PE,56,C-低优先级,东方财富push2实时行情接口,36.65,R-风险剔除,48.4,55.2,53.5,35.0,100.0,18.0,亏损PE,完整
超声电子,000823,SZ,超声电子,否,20.09,10.02,0.0,11.82,1.4,55.88,2.55,119.4,0.0,0.0,,,大幅波动,55,C-低优先级,东方财富push2实时行情接口,32.46,R-风险剔除,13.7,49.5,84.8,50.0,100.0,20.0,大幅波动、行情字段不完整,不完整
大唐电信,600198,SH,大唐电信,否,9.18,-0.11,0.0,2.23,0.95,-245.06,62.18,119.67,0.0,0.0,,,亏损PE,46,C-低优先级,东方财富push2实时行情接口,32.4,R-风险剔除,77.8,64.0,15.5,50.0,100.0,26.0,亏损PE、行情字段不完整,不完整
中京电子,002579,SZ,中京电子,否,16.36,8.34,0.0,15.38,1.5,382.13,4.17,100.22,0.0,0.0,,,高换手、大幅波动,44,D-风险/剔除候选,东方财富push2实时行情接口,22.25,R-风险剔除,61.7,36.0,38.0,50.0,100.0,30.0,高换手、大幅波动、行情字段不完整,不完整
风华高科,000636,SZ,风华高科,否,65.03,10.0,0.01,11.97,1.6,244.84,6.03,752.41,0.0,0.0,,,大幅波动,47,C-低优先级,东方财富push2实时行情接口,18.69,R-风险剔除,14.3,23.1,37.9,50.0,100.0,20.0,大幅波动、行情字段不完整,不完整
特发信息,000070,SZ,特发信息,否,18.71,9.42,0.0,8.11,1.45,-33.15,20.14,162.48,0.0,0.0,,,大幅波动、亏损PE,44,D-风险/剔除候选,东方财富push2实时行情接口,8.77,R-风险剔除,30.9,63.6,15.5,50.0,100.0,38.0,亏损PE、大幅波动、行情字段不完整,不完整
*ST皇庭,000056,SZ,*ST皇庭,否,1.77,2.91,0.0,4.96,1.52,-0.78,-0.87,20.93,0.0,0.0,,,ST/*ST、亏损PE,33,D-风险/剔除候选,东方财富push2实时行情接口,0.0,R-风险剔除,100.0,64.0,32.6,50.0,16.9,68.0,ST/*ST、亏损PE、行情字段不完整,不完整
*ST雅博,002323,SZ,*ST雅博,否,1.45,-2.03,0.73,2.38,1.04,-69.03,16.05,30.75,-1044.06,-14.32,专业工程,"新能源,光伏概念,长江三角,央国企改革,一带一路,HJT电池,储能概念,绿色电力",ST/*ST、亏损PE,16,D-风险/剔除候选,东方财富push2实时行情接口,0.0,R-风险剔除,39.4,53.1,15.5,35.0,45.0,60.0,ST/*ST、亏损PE,完整
